"id";"title";"slug";"acronym";"url";"organization";"organization_id";"owner";"owner_id";"description";"description_short";"frequency";"license";"temporal_coverage.start";"temporal_coverage.end";"spatial.granularity";"spatial.zones";"featured";"created_at";"last_modified";"tags";"archived";"resources_count";"main_resources_count";"resources_formats";"harvest.backend";"harvest.domain";"harvest.created_at";"harvest.modified_at";"harvest.remote_url";"quality_score";"metric.discussions";"metric.discussions_open";"metric.reuses";"metric.reuses_by_months";"metric.dataservices";"metric.followers";"metric.followers_by_months";"metric.views";"metric.resources_downloads"
GEMET - INSPIRE themes, version 1.0 : Installations de suivi environnemental.
GEMET - INSPIRE themes, version 1.0 : Zones à risque naturel.
Territoires MEL : SCoT de Lille Métropole.
Catégories : Aménagement, urbanisme, foncier.
Aménagement, Urbanisme, Foncier : MNE.
Aménagement, Urbanisme, Foncier : Lidar.
Aménagement, Urbanisme, Foncier : Modèle numérique de terrain.
Aménagement, Urbanisme, Foncier : Nuage de points.
Aménagement, Urbanisme, Foncier : Bâtiment.
Aménagement, Urbanisme, Foncier : Environnement.
Aménagement, Urbanisme, Foncier : Occupation du sol.";"";"punctual";"Licence Ouverte / Open Licence version 2.0";"2018-01-01";"2018-12-31";"other";"";False;"2018-01-31T00:00:00";"2024-06-05T04:19:26.045000";"altimetrie,altitude,amenagement-urbanisme-foncier,batiment,environnement,installations-de-suivi-environnemental,lidar,mne,modele-numerique-de-terrain,nuage-de-points,occupation-du-sol,scot-de-lille-metropole,zones-a-risque-naturel";False;3;3;"ogc:wms-1.3.0-http-get-capabilities,www:link-1.0-http--link,ogc:wms";"CSW-DCAT";"data.lillemetropole.fr";"";"";"https://data.lillemetropole.fr/catalogue/dataset/a6fd6af9-2cb5-4aaa-8c6b-5708b91a0dfe";"0.89";0;0;0;"{'2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0, '2026-01': 0}";0;0;"{'2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0, '2026-01': 0}";1050;541
