"id";"title";"slug";"acronym";"url";"organization";"organization_id";"owner";"owner_id";"description";"description_short";"frequency";"license";"temporal_coverage.start";"temporal_coverage.end";"spatial.granularity";"spatial.zones";"featured";"created_at";"last_modified";"tags";"archived";"resources_count";"main_resources_count";"resources_formats";"harvest.backend";"harvest.domain";"harvest.created_at";"harvest.modified_at";"harvest.remote_url";"quality_score";"metric.discussions";"metric.discussions_open";"metric.reuses";"metric.reuses_by_months";"metric.dataservices";"metric.followers";"metric.followers_by_months";"metric.views";"metric.resources_downloads"
Par ailleurs, il permet :
  * la distinction entre les dépenses et les recettes (colonne D_R),
  * l'identification de la section (fonctionnement ou investissement) dans la colonne I_F : la section de fonctionnement (F) enregistre les opérations courantes qui se renouvellent régulièrement et constituent des charges et des produits à caractère définitif (charges de personnel, fournitures, intérêts de la dette, prestations de services, …) ; la section d'investissement (I) retrace les opérations relatives au patrimoine de la Ville (acquisitions, ventes, travaux,…). Ces opérations sont souvent étalées sur plusieurs années.
  * la séparation entre les dépenses (ou recettes) réelles et les dépenses (ou recettes) d'ordre (colonne ORDRE_O_N) : les dépenses (recettes) budgétaires sont composées des dépenses (recettes) réelles et des dépenses (recettes) d'ordre. Les dépenses (recettes) d'ordre correspondent à des écritures n'impliquant ni encaissement, ni décaissement effectif. Il s'agit, par exemple, des dotations aux amortissements. Au contraire des opérations d'ordre, les dépenses (recettes) réelles donnent lieu à des mouvements de fonds.
* * *";"";"";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2012-12-12T00:00:00";"2012-12-13T00:00:00";"budget,budget-primitif,citoyennete-institution";False;2;2;"json,csv";"DCAT";"data.nantesmetropole.fr";"";"2012-12-13T00:00:00";"https://data.nantesmetropole.fr/explore/dataset/244400404_budget-primitif-bp-2010-nantes/";"0.56";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";2;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";1093;333
"5b4eebdba3a7297352e1c354";"Compte administratif (CA) 2010 de la Ville de Nantes";"compte-administratif-ca-2010-de-la-ville-de-nantes-1";"";"https://www.data.gouv.fr/datasets/compte-administratif-ca-2010-de-la-ville-de-nantes-1";"Ville de Nantes";"534fffb9a3a7292c64a78159";"";"";"Compte administratif 2010 du budget principal de la Ville de Nantes
* * *
Le compte administratif, voté annuellement, retrace l'exécution du budget en dépenses et en recettes.
La nomenclature comptable du budget principal de la commune est l'instruction M14 depuis le 1er janvier 1997. Le budget est voté par nature comptable au niveau des chapitres. Les chapitres budgétaires (exemple : 012 « charges de personnel », 73 « impôts et taxes », 23 immobilisations en cours », etc.) regroupent un ensemble d'articles comptables sur lesquels portent l'affectation des crédits et l'exécution du budget.
Le compte administratif fait l'objet d'une présentation croisée par fonction. Chaque sous-fonction précise l'origine d'une recette ou la destination d'une dépense (exemple : 413 « piscines », 33 « action culturelle », etc.).
Par ailleurs, il permet : 
  * la distinction entre les dépenses et les recettes (colonne D_R),
  * l'identification de la section (fonctionnement ou investissement) dans la colonne I_F : la section de fonctionnement (F) enregistre les opérations courantes qui se renouvellent régulièrement et constituent des charges et des produits à caractère définitif (charges de personnel, fournitures, intérêts de la dette, prestations de services, …) ; la section d'investissement (I) retrace les opérations relatives au patrimoine de la Ville (acquisitions, ventes, travaux,…). Ces opérations sont souvent étalées sur plusieurs années.
  * la séparation entre les dépenses (ou recettes) réelles et les dépenses (ou recettes) d'ordre (colonne ORDRE_O_N) : les dépenses (recettes) budgétaires sont composées des dépenses (recettes) réelles et des dépenses (recettes) d'ordre. Les dépenses (recettes) d'ordre correspondent à des écritures n'impliquant ni encaissement, ni décaissement effectif. Il s'agit, par exemple, des dotations aux amortissements. Au contraire des opérations d'ordre, les dépenses (recettes) réelles donnent lieu à des mouvements de fonds.
* * *";"";"";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2012-12-13T00:00:00";"2012-12-13T01:00:00";"budget,citoyennete-institution,compte-administratif";False;2;2;"json,csv";"DCAT";"data.nantesmetropole.fr";"";"2012-12-13T01:00:00";"https://data.nantesmetropole.fr/explore/dataset/244400404_compte-administratif-ca-2010-nantes/";"0.56";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";2;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";1378;468
"5b4eebd8b595087c4ad496ef";"Elections législatives 2012 dans la cinquième circonscription de Loire-Atlantique (second tour)";"elections-legislatives-2012-dans-la-cinquieme-circonscription-de-loire-atlantique-second-tour-1";"";"https://www.data.gouv.fr/datasets/elections-legislatives-2012-dans-la-cinquieme-circonscription-de-loire-atlantique-second-tour-1";"Ville de Nantes";"534fffb9a3a7292c64a78159";"";"";"Résultats du 2nd tour des élections législatives 2012 dans la 5ème circonscription de Loire-Atlantique (dont certains bureaux de vote font partie de la ville de Nantes)
* * *
Les voix obtenues par chaque candidat sont précisées. Sont également fournis : le nombre d'électeurs inscrits, le nombre de votants, de procurations, de bulletins nuls et de bulletins exprimés.
* * *";"";"";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2014-02-06T00:00:00";"2014-02-06T00:00:00";"citoyennete-institution,election";False;2;2;"json,csv";"DCAT";"data.nantesmetropole.fr";"";"2014-02-06T00:00:00";"https://data.nantesmetropole.fr/explore/dataset/244400404_elections-legislatives-2012-5eme-circ-loire-atlantique-2nd-tour/";"0.56";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";2;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";1283;407
"5b4eebd7a3a7297352e1c353";"Budget primitif (BP) 2014 de Nantes Métropole";"budget-primitif-bp-2014-de-nantes-metropole-1";"";"https://www.data.gouv.fr/datasets/budget-primitif-bp-2014-de-nantes-metropole-1";"Nantes Métropole";"534fff98a3a7292c64a78012";"";"";"Budget primitif 2014 du budget principal de Nantes Métropole
* * *
Le budget primitif, voté annuellement, constitue la prévision des dépenses et des recettes pour l'année. Il est nécessairement équilibré et vaut autorisation d'exécution.
La nomenclature comptable du budget principal de la Communauté Urbaine est l'instruction M14. Le budget est voté par nature comptable au niveau des chapitres. Les chapitres budgétaires (exemple : 012 « charges de personnel », 73 « impôts et taxes », 23 immobilisations en cours », etc.) regroupent un ensemble d'articles comptables sur lesquels portent l'affectation des crédits et l'exécution du budget.
Le budget primitif fait l'objet d'une présentation croisée par fonction. Chaque sous-fonction précise l'origine d'une recette ou la destination d'une dépense (exemple : 020 « administration générale de la collectivité »).
Par ailleurs, il permet :
  * la distinction entre les dépenses et les recettes (colonne D_R),
  * l'identification de la section (fonctionnement ou investissement) dans la colonne I_F : la section de fonctionnement (F) enregistre les opérations courantes qui se renouvellent régulièrement et constituent des charges et des produits à caractère définitif (charges de personnel, fournitures, intérêts de la dette, prestations de services, …) ; la section d'investissement (I) retrace les opérations relatives au patrimoine de la Métropole (acquisitions, ventes, travaux,…). Ces opérations sont souvent étalées sur plusieurs années.
  * la séparation entre les dépenses (ou recettes) réelles et les dépenses (ou recettes) d'ordre (colonne ORDRE_O_N) : les dépenses (recettes) budgétaires sont composées des dépenses (recettes) réelles et des dépenses (recettes) d'ordre. Les dépenses (recettes) d'ordre correspondent à des écritures n'impliquant ni encaissement, ni décaissement effectif. Il s'agit, par exemple, des dotations aux amortissements. Au contraire des opérations d'ordre, les dépenses (recettes) réelles donnent lieu à des mouvements de fonds.
* * *";"";"";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2014-02-13T00:00:00";"2014-02-13T00:00:00";"budget,budget-primitif,citoyennete-institution";False;2;2;"json,csv";"DCAT";"data.nantesmetropole.fr";"";"2014-02-13T00:00:00";"https://data.nantesmetropole.fr/explore/dataset/244400404_budget-primitif-bp-2014-nantes-metropole/";"0.56";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";2;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";1288;357
"5b4eebd2a3a7297352e1c352";"Election présidentielle 2007 à Nantes (premier tour)";"election-presidentielle-2007-a-nantes-premier-tour-1";"";"https://www.data.gouv.fr/datasets/election-presidentielle-2007-a-nantes-premier-tour-1";"Ville de Nantes";"534fffb9a3a7292c64a78159";"";"";"Résultats du 1er tour de l'élection présidentielle 2007 à Nantes
* * *
Les résultats sont indiqués par bureau de vote. Les voix obtenues par chaque candidat à Nantes sont précisées. Sont également fournis : le nombre d'électeurs inscrits, le nombre de votants, de procurations, de bulletins nuls et de bulletins exprimés.
* * *";"";"";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2014-01-31T00:00:00";"2014-01-31T00:00:00";"citoyennete-institution,election";False;2;2;"json,csv";"DCAT";"data.nantesmetropole.fr";"";"2014-01-31T00:00:00";"https://data.nantesmetropole.fr/explore/dataset/244400404_election-presidentielle-2007-nantes-1er-tour/";"0.56";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";2;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";1696;520
"5b4eebcfb595087c4ad496ed";"Indicateur d'activité des grands équipements de Nantes Métropole";"indicateur-dactivite-des-grands-equipements-de-nantes-metropole-1";"";"https://www.data.gouv.fr/datasets/indicateur-dactivite-des-grands-equipements-de-nantes-metropole-1";"Nantes Métropole";"534fff98a3a7292c64a78012";"";"";"Indicateurs concernant la fréquentation des grands équipements touristiques de Nantes Métropole (années 2007 à 2013)
* * *
Les grands équipements concernés sont :
  * Les Machines de L'Ile,
  * le Carroussel des Mondes Marins,
  * le Zénith, 
  * la Cité Internationale des Congrès, 
  * le Parc d'Exposition de la Beaujoire 
  * et les bureaux d'accueil touristiques.
* * *";"";"";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2011-11-17T00:00:00";"2014-05-13T00:00:00";"culture-tourisme,tourisme";False;2;2;"json,csv";"DCAT";"data.nantesmetropole.fr";"";"2014-05-13T00:00:00";"https://data.nantesmetropole.fr/explore/dataset/244400404_indicateur-activite-grands-equipements-nantes-metropole/";"0.56";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";2;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";1701;657
