"id";"title";"slug";"acronym";"url";"organization";"organization_id";"owner";"owner_id";"description";"description_short";"frequency";"license";"temporal_coverage.start";"temporal_coverage.end";"spatial.granularity";"spatial.zones";"featured";"created_at";"last_modified";"tags";"archived";"resources_count";"main_resources_count";"resources_formats";"harvest.backend";"harvest.domain";"harvest.created_at";"harvest.modified_at";"harvest.remote_url";"quality_score";"metric.discussions";"metric.discussions_open";"metric.reuses";"metric.reuses_by_months";"metric.dataservices";"metric.followers";"metric.followers_by_months";"metric.views";"metric.resources_downloads"
**Les différents niveaux :**
-   DIMA : Dispositif d'initiation aux métiers en alternance
-   CLIPA : Classe d’initiation professionnelle en alternance
-   CPA : Classe préparatoire à l’apprentissage
-   Niveau 5 : CAP (certificat d'aptitude professionnelle) ou BEP
    (brevet d'études professionnelles)
-   Niveau 4 : baccalauréat (général, technologique ou professionnel)
-   Niveau 3 : bac + 2 : BTS (brevet de technicien supérieur), DUT
    (diplôme universitaire de technologie), ...
-   Niveau 1 et 2 : égal ou supérieur au Bac + 3 ( licence, maitrise,
    ...)";"";"unknown";"Licence Ouverte / Open Licence";"";"";"other";"";False;"2013-12-10T13:19:34.585000";"2015-08-25T00:08:02.611000";"apprentissage";False;3;3;"xls,json,csv";"";"";"";"";"";"0.56";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";2243;966
"53699d00a3a729239d205b0b";"Pôles logistiques , les principales zones logistiques";"poles-logistiques-les-principales-zones-logistiques";"";"https://www.data.gouv.fr/datasets/poles-logistiques-les-principales-zones-logistiques";"Région Île-de-France";"534fffa8a3a7292c64a780c8";"";"";"Les pôles logistiques sont des secteurs géographiques où sont regroupées
des entreprises fortement impliquées dans le transport et l'activité
d'entreposage.";"";"unknown";"Open Data Commons Open Database License (ODbL)";"";"";"other";"";False;"2013-12-10T13:19:31.903000";"2016-10-10T10:02:02.365000";"";False;4;4;"shp,xls,json,csv";"";"";"";"";"";"0.33";6;6;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";5366;1879
